10.1.2.1,10.1.2.10,10.1.2.11,10.1.2.12,10.1.2.13,10.1.2.14,10.1.2.15,10.1.2.16,10.1.2.17,10.1.2.18,10.1.2.19,10.1.2.2,10.1.2.20,10.1.2.21,10.1.2.22,10.1.2.23,10.1.2.24,10.1.2.25,10.1.2.26,10.1.2.27,10.1.2.28,10.1.2.29,10.1.2.3,10.1.2.30,10.1.2.4,10.1.2.5,10.1.2.6,10.1.2.7,10.1.2.8,10.1.2.9
3,0,1,1,1,0,3,4,1,2,4,2,0,2,2,1,1,1,2,1,2,2,3,2,2,3,1,3,4,2
4,0,1,1,1,0,3,4,1,2,4,2,0,2,2,1,1,1,2,1,2,2,3,2,2,3,2,3,4,2
4,0,1,1,1,0,3,4,1,2,4,2,0,2,2,1,1,1,2,1,2,2,3,2,2,3,2,3,4,2
4,0,1,1,1,0,3,4,1,2,4,2,0,2,2,1,1,1,2,1,2,2,3,2,2,3,2,3,4,2
4,0,1,1,1,0,3,4,1,3,4,3,0,2,2,2,1,1,2,1,2,2,4,2,2,3,2,3,4,2
4,0,1,1,1,0,3,4,1,3,4,3,0,2,2,2,1,1,2,1,2,2,4,2,2,3,2,3,4,2
6,0,1,2,1,0,3,4,1,3,4,3,1,2,2,2,1,1,2,1,2,3,4,2,2,3,2,3,4,2
6,0,1,2,1,0,4,4,1,3,4,3,1,2,2,3,1,1,2,1,2,3,5,2,2,3,3,4,4,2
6,0,1,2,1,0,4,4,1,3,4,3,1,2,2,3,1,1,2,1,2,3,5,2,2,3,3,4,4,2
6,0,1,2,1,0,4,4,1,3,4,3,1,3,2,3,1,1,2,1,3,3,5,2,2,3,3,4,4,2
6,0,1,4,1,1,4,4,1,3,5,3,1,3,2,3,2,1,2,1,3,3,5,2,2,3,3,4,4,3
6,0,3,4,1,1,4,4,1,3,5,4,1,3,2,3,2,1,3,1,3,3,6,2,3,3,3,4,4,4
6,0,3,4,1,1,4,4,2,3,5,4,1,3,2,3,2,1,3,1,3,3,6,2,3,3,3,4,4,4
6,0,3,4,1,1,4,4,2,3,5,4,1,3,2,3,2,1,3,1,3,3,6,2,3,3,3,4,4,4
6,0,3,4,1,1,4,4,2,3,5,4,0,3,2,3,2,1,3,1,3,3,6,2,3,3,3,4,4,4
6,0,3,4,1,1,4,4,2,3,5,4,0,3,2,2,2,1,3,1,3,3,6,2,3,3,3,4,4,4
6,1,3,5,1,2,4,4,2,3,5,4,0,3,2,2,2,1,4,1,3,3,6,2,4,3,4,4,4,4
6,1,3,5,1,2,4,4,2,3,5,4,0,4,2,2,2,1,4,1,3,3,6,3,4,3,5,4,4,4
6,1,3,4,1,1,4,4,2,3,4,4,0,4,2,2,1,1,4,1,3,3,6,3,4,2,5,5,4,4
6,1,3,4,1,1,4,4,2,2,4,5,0,4,2,2,1,1,3,1,3,3,6,3,4,3,5,5,4,4
6,1,3,5,1,2,4,4,2,3,5,4,0,3,2,2,2,1,4,1,3,3,6,2,4,3,4,4,4,4
6,1,3,5,1,2,4,4,2,3,5,4,0,4,2,2,2,1,4,1,3,3,6,3,4,3,5,4,4,4
6,1,3,4,1,1,4,4,2,3,4,4,0,4,2,2,1,1,4,1,3,3,6,3,4,2,5,5,4,4
6,1,3,4,1,1,4,4,2,2,4,5,0,4,2,2,1,1,3,1,3,3,6,3,4,3,5,5,4,4
6,1,3,3,2,1,4,3,2,2,4,5,1,5,4,2,1,1,3,1,3,4,6,3,4,4,6,4,4,4
