,n_neurons_list,time_fit,time_predict,f_score
0,10,17.846389770507812,0.7107088565826416,0.6805711492019192
1,11,19.471906661987305,0.735797643661499,0.847706152587527
2,14,19.398083209991455,0.8234519958496094,0.9286855566411862
3,19,20.29330086708069,0.8606829643249512,0.34003219355153413
4,26,21.436216115951538,0.9334845542907715,0.8984846154375928
5,35,21.660147190093994,0.976637601852417,0.9196746571017202
6,46,22.141229152679443,1.0555696487426758,0.9333327211452814
7,59,22.954745292663574,1.1166291236877441,0.6165701610347709
8,74,24.52534556388855,1.1669368743896484,0.8278993099209342
9,91,24.53958487510681,1.257594347000122,0.9104084078971284
10,110,25.549057245254517,1.3288884162902832,0.3333333333333333
11,131,26.028714179992676,1.3878498077392578,0.7293521549656998
12,154,26.865103244781494,1.4824817180633545,0.6003996003996005
13,179,27.523858785629272,1.532519817352295,0.9393917131942403
14,206,29.20530366897583,1.5400354862213135,0.8257602837177681
15,235,29.021358728408813,1.6367785930633545,0.833128822971346
16,266,29.750964403152466,1.7223572731018066,0.34995075384498825
17,299,30.525287628173828,1.7469029426574707,0.6847384762359685
18,334,31.127535820007324,1.8240633010864258,0.8051382028474754
19,371,31.939172506332397,1.951012372970581,0.8998196938475125
